"","X","beach.name","job","age.respondent","years.fisheries","no.days.per.month.lake","choice.fishing.area","catch.size.change","catch.change.trend","catch.change.amount","catch.change.type","catch.cause.size.change","comment.unedited","water.clarity.change","water.smell.change","fish.spp.change","fish.abundance.change","change.aquatic.plants","total.plant.abundance.change","earliest.algal.bloom","bloom.effect.waterqual","bloom.effect.business","bloom.effect.fish","cause.bloom","future.for.fishery"
"236",45,"Ogal","crew",37,18,6,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1998,"contaminates water","decrease in fish business or profit","positively impacts fish","change in water clarity","Y"
"237",46,"Ogal","crew",36,16,15,"proximity","Y","reduced","reduced","reduced","water quality; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2004,"contaminates water; odor change","decrease in fish business or profit","reduces quantity","waste or pollution","N"
"238",47,"Ogal","Boat owner",33,13,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","at times","reduced","seasonal","reduced","",2007,"poor water quality ","decrease in fish business or profit","negatively impacts fish","seasonal","N"
"239",48,"Ogal","crew",52,38,12,"proximity","Y","reduced","increased","increased","pollution","","reduced","reduced","reduced","reduced","increased","",1990,"poor water quality ","increase in business","positively impacts fish","natural causes","N"
"240",49,"Ogal","crew",29,14,12,"fishing quality and fish availability","Y","fluctuates","no change","no change","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","reduced","reduced","increased","increased","",2002,"good quality","affected, unspecified","positively impacts fish","natural causes","Y"
"241",50,"Ogal","crew",74,70,30,"water quality","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1968,"skin irritation after bathing","decrease in fish business or profit","negatively impacts fish health","waste or pollution","N"
"242",1,"Rakwaro","Boat owner",41,23,26,"access for fishing","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","water hyacinth","reduced","increased","reduced","reduced","increased","increased",1998,"poor water quality ","decrease in catch or production","results in fish mortalities","water hyacinth","N"
"243",2,"Rakwaro","Crew",32,10,10,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2007,"contaminates water; odor change","decrease in fish business or profit","suffocates fish","change in water clarity","Y"
"244",3,"Rakwaro","Boat owner",35,13,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2002,"contaminates water; odor change","decrease in fish business or profit","suffocates fish","","N"
"245",4,"Rakwaro","Crew",29,9,21,"absence of water hyacinth","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2013,"poor water quality ","decrease in fish business or profit","results in fish mortalities","water hyacinth","N"
"246",5,"Rakwaro","Boat owner",67,26,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",1990,"contaminates water","decrease in fish business or profit","results in fish mortalities","change in water clarity","N"
"247",6,"Rakwaro","Boat owner",38,15,26,"absence of cyanobacteria","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2007,"poor water quality ","decrease in fish business or profit","results in fish mortalities","water hyacinth","N"
"248",7,"Rakwaro","Crew",32,15,16,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2009,"poor water quality ","decrease in fish business or profit","migration of fish","water hyacinth","N"
"249",8,"Rakwaro","Boat owner",62,44,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1999,"contaminates water; odor change","decrease in fish business or profit","results in fish mortalities","change in water clarity","N"
"250",9,"Rakwaro","Boat owner",25,9,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","increased","reduced","reduced","reduced","increased","increased",2016,"odor change","decrease in fish business or profit","results in fish mortalities","natural causes","N"
"251",10,"Rakwaro","Foot fisher",45,15,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2009,"poor water quality ","decrease in fish business or profit","reduces quantity","water hyacinth","N"
"252",11,"Rakwaro","Crew",53,10,26,"water quality","N","","","","","","reduced","increased","no change","no change","increased","reduced",2007,"poor water quality ","increase in fish quantity","increases longevity of fish","water hyacinth","N"
"253",12,"Rakwaro","Crew",26,1.5,20,"water quality","N","","","","","","reduced","increased","reduced","increased","increased","increased",2016,"contaminates water; odor change","decrease in fish business or profit","results in fish mortalities","change in water clarity","N"
"254",13,"Rakwaro","Boat owner",63,24,16,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",1999,"odor change","decrease in catch or production","negatively impacts fish health","natural causes","N"
"255",14,"Rakwaro","Crew",43,20,10,"absence of water hyacinth","Y","reduced","reduced","no change","overfishing or increase in fisher population","","reduced","no smell","no change","reduced","increased","increased",2007,"poor water quality ","decrease in catch or production","no effect","change in water clarity","N"
"256",15,"Rakwaro","Crew",25,14,10,"less competition","Y","reduced","reduced","increased","odor in water","","reduced","increased","reduced","increased","increased","increased",2012,"poor water quality ","decrease in catch or production","results in fish mortalities","water hyacinth","N"
"257",16,"Rakwaro","Crew",33,10,24,"absence of water hyacinth","Y","reduced","reduced","no change","odor in water","water hyacinth","reduced","increased","no change","reduced","increased","increased",2016,"poor water quality ","decrease in fish business or profit","results in fish mortalities","change in water clarity","Y"
"258",17,"Rakwaro","Crew",42,15,20,"absence of water hyacinth","Y","reduced","reduced","no change","water hyacinth","","reduced","increased","no change","reduced","reduced","increased",2007,"odor change","decrease in fish business or profit","results in fish mortalities","change in water clarity","N"
"259",18,"Rakwaro","Boat owner",42,15,27,"absence of water hyacinth","Y","reduced","reduced","no change","overfishing or increase in fisher population","","reduced","increased","no change","reduced","increased","increased",2015,"poor water quality ","decrease in fish business or profit","migration of fish","change in water clarity","N"
"260",19,"Rakwaro","Crew",24,6,4,"absence of water hyacinth","Y","reduced","reduced","no change","climate change","","reduced","at times","no change","reduced","increased","increased",2016,"poor water quality ","decrease in fish business or profit","results in fish mortalities","change in weather","Y"
"261",20,"Rakwaro","Fish trader",50,25,16,"absence of water hyacinth","Y","reduced","reduced","no change","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",1998,"poor water quality ","decrease in fish business or profit","results in fish mortalities","uncertain","Y"
"262",21,"Rakwaro","Boat owner",37,17,30,"absence of water hyacinth","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2003,"poor water quality ","decrease in fish business or profit","results in fish mortalities","natural causes","N"
"263",22,"Rakwaro","Crew",28,5,12,"absence of water hyacinth","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","decrease in catch or production","negatively impacts fish health","change in water clarity","Y"
"264",23,"Rakwaro","Crew",26,5,12,"absence of water hyacinth","Y","reduced","reduced","increased","climate change","","reduced","increased","increased","reduced","increased","increased",2012,"none","increase in fish quantity","acts as food for fish","change in weather","Y"
"265",24,"Rakwaro","Crew",30,8,26,"absence of water hyacinth","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2015,"poor water quality ","decrease in fish business or profit","migration of fish","change in water clarity","Y"
"266",25,"Rakwaro","Crew",49,15,8,"absence of water hyacinth","Y","reduced","reduced","increased","climate change","","reduced","increased","increased","increased","increased","increased",2016,"contaminates water; odor change","decrease in fish business or profit","suffocates fish","drought","Y"
"267",26,"Rakwaro","Boat owner",24,16,21,"absence of water hyacinth","Y","reduced","reduced","increased","water hyacinth","","reduced","increased","reduced","reduced","increased","increased",2015,"poor water quality ","increase in fish business (price) due to high demand (shortage)","results in fish mortalities","change in water clarity","N"
"268",27,"Rakwaro","Crew",21,10,20,"absence of water hyacinth","Y","reduced","reduced","increased","overfishing or increase in fisher population","","reduced","reduced","reduced","reduced","increased","increased",2010,"poor water quality ","increase in fish business (price) due to high demand (shortage)","acts as food for fish","natural causes","N"
"269",28,"Rakwaro","Crew",33,15,12,"absence of water hyacinth","Y","reduced","reduced","reduced","water hyacinth","","reduced","increased","reduced","reduced","reduced","increased",1996,"odor change","increase in fish business (price) due to high demand (shortage)","migration of fish","natural causes","N"
"270",29,"Rakwaro","Crew",39,19,16,"absence of water hyacinth","Y","reduced","reduced","reduced","climatic change; illegal or unregulated fishing gear","","reduced","reduced","reduced","reduced","increased","increased",1990,"poor water quality ","decrease in catch or production","reduces quantity","natural causes","Y"
"271",30,"Rakwaro","Crew",30,3,8,"absence of water hyacinth","Y","reduced","reduced","reduced","overfishing or increase in fisher population","water clarity","reduced","increased","reduced","reduced","increased","increased",2016,"poor water quality ","decrease in catch or production","suffocates fish","natural causes","N"
"272",31,"Rakwaro","Crew",24,8,4,"absence of water hyacinth","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1998,"poor water quality ","decrease in fish business or profit","acts as food for fish","natural causes","N"
"273",32,"Rakwaro","Crew",25,4,4,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","water hyacinth","reduced","increased","reduced","reduced","increased","increased",2012,"skin irritation after bathing","decrease in catch or production","results in fish mortalities","change in water clarity","N"
"274",33,"Rakwaro","Crew",27,15,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2007,"poor water quality ","decrease in catch or production","migration of fish","change in water clarity","N"
"275",34,"Rakwaro","Crew",20,5,12,"fishing quality and fish availability","N","no change","no change","no change","none","","no change","increased","no change","no change","reduced","reduced",2010,"odor change","decrease in catch or production","negatively impacts fish health","water hyacinth","Y"
"276",35,"Rakwaro","Boat owner",39,24,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","reduced","reduced",1995,"contaminates water","decrease in catch or production","reduces quantity","manure","Y"
"277",36,"Rakwaro","Crew",49,10,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","water hyacinth","reduced","increased","reduced","reduced","increased","increased",1997,"poor water quality ","decrease in catch or production","reduces quantity","change in water clarity","Y"
"278",37,"Rakwaro","Crew",32,12,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","increased","reduced","increased","increased",1999,"odor change","decrease in catch or production","negatively impacts fish health","change in water clarity","N"
"279",38,"Rakwaro","Crew",40,25,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1992,"odor change","decrease in catch or production","negatively impacts fish health","change in water clarity","N"
"280",39,"Rakwaro","Crew",20,2,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",1999,"odor change","decrease in catch or production","negatively impacts fish health","change in water clarity","N"
"281",40,"Rakwaro","Crew",57,5,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2007,"absorbs water","decrease in catch or production","suffocates fish","current","Y"
"282",41,"Rakwaro","Foot fisher",37,2,26,"proximity","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",NA,"contaminates water; linked to health","unimpacted","negatively impacts fish health","cyanobacteria","N"
"283",42,"Rakwaro","Foot fisher",30,2,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1987,"poor water quality ","decrease in catch or production","migration of fish","current","N"
"284",43,"Rakwaro","Boat owner",69,26,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1943,"poor water quality ","decrease in catch or production","migration of fish","change in water clarity","N"
"285",44,"Rakwaro","Crew",38,22,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",1984,"odor change","decrease in catch or production","migration of fish","change in water clarity","N"
"286",45,"Rakwaro","Crew",34,16,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1998,"poor water quality ","decrease in catch or production","migration of fish","change in water clarity","N"
"287",46,"Rakwaro","Crew",35,12,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2007,"poor water quality ","decrease in catch or production","migration of fish","change in water clarity","Y"
"288",47,"Rakwaro","Crew",30,10,5,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2001,"poor water quality ","decrease in catch or production","migration of fish","change in water clarity","N"
"289",48,"Rakwaro","Crew",30,1,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","increased","increased","increased","increased",2000,"unsure","unsure","not sure","change in water clarity","Y"
"290",49,"Rakwaro","Boat owner",31,15,24,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",1992,"color and texture change (heavy)","decrease in catch or production","negatively impacts fish health","water hyacinth","Y"
"291",50,"Rakwaro","Crew",22,3,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","increased","increased","reduced","reduced","increased","increased",2002,"odor change","decrease in fish business or profit","negatively impacts fish health","water hyacinth","N"
"292",1,"Obaria","Boat owner",41,18,18,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2007,"poor water quality ","increase in fish business (price) due to high demand (shortage)","results in fish mortalities","change in water clarity","N"
"293",2,"Obaria","Crew",41,20,14,"absence of water hyacinth","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2005,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","Y"
"294",3,"Obaria","Boat owner",45,11,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1999,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","Y"
"295",4,"Obaria","Boat owner",46,30,4,"deep water for big fish","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2000,"poor water quality ","decrease in fish business or profit","suffocates fish","waste or pollution","N"
"296",5,"Obaria","Boat owner",30,10,5,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","decrease in fish business or profit","suffocates fish","drought","N"
"297",6,"Obaria","Boat owner",20,4,10,"fishing quality and fish availability","N","","","","","","no change","no change","no change","seasonal","reduced","reduced",2016,"poor water quality ","decrease in fish business or profit","results in fish mortalities","drought","Y"
"298",7,"Obaria","Crew",28,5,5,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2008,"color change","decrease in fish business or profit","suffocates fish","waste or pollution","N"
"299",8,"Obaria","Crew",61,20,10,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","reduced",2009,"poor water quality ","decrease in fish business or profit","suffocates fish","natural causes","Y"
"300",9,"Obaria","Crew",59,10,22,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2013,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"301",10,"Obaria","Crew",22,2,16,"proximity","Y","reduced","reduced","no change","seasonal","","reduced","at times","no change","reduced","increased","increased",2016,"poor water quality ","decrease in fish business or profit","migration of fish","uncertain","N"
"302",11,"Obaria","Crew",34,20,30,"proximity","Y","reduced","reduced","no change","illegal or unregulated fishing gear","","reduced","no smell","no change","reduced","increased","seasonal",2007,"poor water quality ","increase in fish business (price) due to high demand (shortage)","no effect","natural causes","N"
"303",12,"Obaria","Crew",21,4,15,"proximity","Y","no change","no change","no change","water quality ","weather","reduced","at times","reduced","seasonal","increased","seasonal",2013,"contaminates water; linked to health","increase in fish business (price) due to high demand (shortage)","results in fish mortalities","waste or pollution","Y"
"304",13,"Obaria","Crew",42,34,30,"proximity","Y","reduced","reduced","no change","pollution","","reduced","increased","no change","reduced","increased","seasonal",2006,"poor water quality ","increase in price","results in fish mortalities","waste or pollution","N"
"305",14,"Obaria","Crew",31,15,3,"proximity","Y","reduced","reduced","no change","pollution","","increased","no smell","reduced","seasonal","variable","seasonal",1999,"poor water quality ","unimpacted","results in fish mortalities","water hyacinth","N"
"306",15,"Obaria","Crew",30,10,10,"proximity","Y","no change","no change","no change","seasonal","","reduced","increased","no change","no change","increased","increased",2012,"poor water quality ","price fluctuation","results in fish mortalities","waste or pollution","N"
"307",16,"Obaria","Crew",42,20,15,"proximity","Y","reduced","reduced","no change","illegal or unregulated fishing gear","","reduced","no smell","no change","reduced","increased","seasonal",2004,"poor water quality ","decrease in fish business or profit","reduces quantity","waste or pollution","N"
"308",17,"Obaria","Crew",18,3,12,"proximity","Y","reduced","reduced","no change","pollution","","reduced","increased","reduced","reduced","increased","increased",2016,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"309",18,"Obaria","Crew",23,5,6,"proximity","Y","reduced","reduced","no change","blooms","","reduced","increased","reduced","no change","increased","seasonal",2014,"poor water quality ","unimpacted","suffocates fish","water hyacinth","Y"
"310",19,"Obaria","Crew",19,3,12,"proximity","Y","no change","reduced","no change","overfishing or increase in fisher population","","reduced","increased","no change","reduced","increased","increased",2014,"poor water quality ","decrease in catch or production","results in fish mortalities","waste or pollution","Y"
"311",20,"Obaria","Crew",53,20,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2001,"odor and color change","decrease in catch or production","results in fish mortalities","waste or pollution","N"
"312",21,"Obaria","Boat owner",35,7,4,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2010,"contaminates water","decrease in catch or production","negatively impacts fish","waste or pollution","N"
"313",22,"Obaria","Crew",32,8,10,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2009,"contaminates water","decrease in catch or production","interferes with breeding zones","waste or pollution","Y"
"314",23,"Obaria","Crew",29,10,10,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","no change","reduced","reduced","increased","increased",1998,"poor water quality ","decrease in catch or production","no effect","waste or pollution","Y"
"315",24,"Obaria","Crew",23,8,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",NA,"contaminates water","decrease in catch or production","negatively impacts fish","fertilizers","N"
"316",25,"Obaria","Crew",32,15,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2012,"contaminates water","decrease in catch or production","negatively impacts fish","waste or pollution","N"
"317",26,"Obaria","Crew",25,6,10,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2002,"contaminates water","decrease in catch or production","suffocates fish","waste or pollution","Y"
"318",27,"Obaria","Crew",23,5,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2009,"contaminates water","decrease in catch or production","suffocates fish","waste or pollution","Y"
"319",28,"Obaria","Crew",19,3,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2013,"contaminates water","decrease in catch or production","migration of fish","waste or pollution","Y"
"320",29,"Obaria","Crew",21,4,10,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2010,"poor water quality ","decrease in catch or production","suffocates fish","water hyacinth","N"
"321",30,"Obaria","Crew",29,7,16,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2000,"contaminates water","decrease in catch or production","suffocates fish","water hyacinth","Y"
"322",31,"Obaria","Crew",27,10,15,"proximity","Y","reduced","reduced","reduced","water hyacinth","","reduced","no smell","reduced","increased","reduced","reduced",2012,"odor change","increase in fish business (price) due to high demand (shortage)","results in fish mortalities","water hyacinth","Y"
"323",32,"Obaria","Crew",36,10,10,"proximity","Y","reduced","reduced","reduced","water hyacinth; blooms","","reduced","increased","reduced","reduced","reduced","reduced",1990,"contaminates water","decrease in catch or production","interferes with breeding zones","waste or pollution","N"
"324",33,"Obaria","Crew",43,20,20,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2000,"poor water quality ","decrease in fish business or profit","suffocates fish","waste or pollution","N"
"325",34,"Obaria","Crew",28,5,3,"proximity","Y","reduced","reduced","reduced","fish migration","","reduced","no smell","reduced","reduced","reduced","reduced",2010,"poor water quality ","decrease in fish business or profit","results in fish mortalities","water hyacinth","Y"
"326",35,"Obaria","Crew",40,20,4,"proximity","Y","reduced","reduced","reduced","fish migration","","reduced","increased","reduced","reduced","increased","reduced",1980,"poor water quality ","decrease in fish business or profit","suffocates fish","waste or pollution","N"
"327",36,"Obaria","Crew",16,2,14,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","increased","no smell","reduced","reduced","increased","reduced",2014,"contaminates water; color change","decrease in catch or production","interferes with breeding zones","uncertain","N"
"328",37,"Obaria","Crew",58,10,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2003,"odor change","decrease in fish business or profit","migration of fish","waste or pollution","N"
"329",38,"Obaria","Crew",23,4,3,"fishing quality and fish availability","Y","increased","no change","no change","fish migration","","reduced","increased","increased","reduced","reduced","reduced",2016,"poor water quality ","decrease in catch or production","interferes with breeding zones","current","N"
"330",39,"Obaria","Crew",27,9,26,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","increased","increased","reduced",2009,"color change","decrease in catch or production","results in fish mortalities","waste or pollution","N"
"331",40,"Obaria","Crew",52,6,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","reduced","reduced","reduced","reduced","reduced",2000,"poor water quality ","decrease in catch or production","suffocates fish","waste or pollution","N"
"332",41,"Obaria","Boat owner",53,42,30,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",NA,"poor water quality ","increase in fish business (price) due to high demand (shortage)","reduces quantity","rain","N"
"333",42,"Obaria","Crew",60,20,8,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","no smell","reduced","reduced","increased","increased",2002,"odor change","increase in business","reduces quantity","fertilizers","N"
"334",43,"Obaria","Crew",50,10,12,"proximity","Y","reduced","reduced","no change","pollution","","reduced","increased","increased","reduced","increased","increased",2002,"poor water quality ","decrease in fish business or profit","disappearance of fish","water hyacinth","N"
"335",44,"Obaria","Crew",50,7,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2003,"poor water quality ","decrease in price ","reduces quantity","water hyacinth","N"
"336",45,"Obaria","Crew",54,7,8,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2008,"poor water quality ","decrease in catch or production","reduces quantity","water hyacinth","N"
"337",46,"Obaria","Boat owner",27,15,20,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","increased","reduced","increased","increased",2002,"contaminates water; odor change","increase in price","suffocates fish","waste or pollution","N"
"338",47,"Obaria","Crew",57,14,26,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",1992,"poor water quality ","decrease in fish business or profit","reduces quantity","water hyacinth","N"
"339",48,"Obaria","Crew",44,17,14,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2000,"poor water quality ","decrease in fish business or profit","reduces quantity","fertilizers","N"
"340",49,"Obaria","Crew",42,25,8,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",NA,"poor water quality ","decrease in catch or production","reduces quantity","waste or pollution","Y"
"341",50,"Obaria","Fish trader",63,20,20,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1970,"poor water quality ","decrease in catch or production","reduces quantity","fertilizers","N"
"342",1,"Mainuga","Crew",28,5,6,"fishing quality and fish availability","Y","reduced","reduced","no change","illegal or unregulated fishing gear","","reduced","seasonal","no change","reduced","increased","increased",2015,"poor water quality ","decrease in catch or production","migration of fish","waste or pollution","N"
"343",2,"Mainuga","Crew",37,2,12,"fishing quality and fish availability","Y","no change","no change","no change","pollution","","increased","seasonal","no change","no change","increased","increased",2002,"odor change","decrease in catch or production","results in fish mortalities","water hyacinth","Y"
"344",3,"Mainuga","Boat owner",33,18,24,"proximity","Y","no change","no change","no change","water hyacinth","","reduced","seasonal","no change","reduced","increased","increased",1998,"poor water quality ","decrease in catch or production","results in fish mortalities","waste or pollution","N"
"345",4,"Mainuga","Crew",43,25,24,"proximity","N","","","","none","","reduced","seasonal","reduced","reduced","increased","seasonal",2007,"livelihood","decrease in catch or production","results in fish mortalities","waste or pollution","N"
"346",5,"Mainuga","Crew",37,10,24,"proximity","Y","reduced","reduced","no change","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2004,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"347",6,"Mainuga","Crew",45,22,21,"proximity","Y","reduced","reduced","no change","illegal or unregulated fishing gear","","reduced","seasonal","no change","reduced","reduced","reduced",1985,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"348",7,"Mainuga","Crew",30,15,28,"proximity","Y","reduced","reduced","no change","pollution","","reduced","seasonal","reduced","reduced","increased","increased",2005,"poor water quality ","increase in price","decreases quality of fish","waste or pollution","N"
"349",8,"Mainuga","Boat owner",52,20,12,"water quality","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1981,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"350",9,"Mainuga","Crew",49,30,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","seasonal","increased","increased",2007,"contaminates water; linked to health","decrease in fish business or profit","results in fish mortalities","fertilizers","Y"
"351",10,"Mainuga","Crew",21,5,28,"fishing quality and fish availability","Y","no change","increased","no change","water quality improved","","reduced","increased","no change","seasonal","increased","increased",2012,"contaminates water; linked to health","increase in fish business (price) due to high demand (shortage)","results in fish mortalities","rain","Y"
"352",11,"Mainuga","Crew",21,19,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","unknown","increased","reduced","reduced","increased","increased",2004,"odor change","decrease in fish business or profit","disappearance of fish","natural causes","N"
"353",12,"Mainuga","Boat owner",25,10,20,"fishing quality and fish availability","N","","","","","","reduced","increased","unknown","unknown","increased","increased",2004,"odor change","decrease in fish business or profit","reduces quantity","water hyacinth","uncertain"
